job_id,salary_bin
JOB-2019-0016087,0
JOB-2019-0008055,9
JOB-2019-0001658,3
JOB-2019-0016777,9
JOB-2019-0017600,6
JOB-2019-0000279,0
JOB-2019-0010945,0
JOB-2019-0010096,9
JOB-2019-0017154,0
JOB-2019-0008605,9
JOB-2019-0017818,9
JOB-2019-0000935,0
JOB-2019-0009871,8
JOB-2019-0001034,0
JOB-2019-0009923,1
JOB-2019-0007691,9
JOB-2019-0015973,3
JOB-2019-0001680,0
JOB-2019-0004826,9
JOB-2019-0000700,0
JOB-2019-0009597,9
JOB-2019-0011265,3
JOB-2019-0009480,8
JOB-2019-0005336,3
JOB-2019-0010770,7
JOB-2019-0019653,6
JOB-2019-0010359,2
JOB-2019-0016120,4
JOB-2019-0006273,3
JOB-2019-0006482,2
JOB-2019-0006834,9
JOB-2019-0001571,9
JOB-2019-0006279,0
JOB-2019-0006664,8
JOB-2019-0008918,1
JOB-2019-0000148,0
JOB-2019-0003757,6
JOB-2019-0012543,8
JOB-2019-0004623,8
JOB-2019-0000163,2
JOB-2019-0012748,0
JOB-2019-0012897,9
JOB-2019-0000394,9
JOB-2019-0015972,0
JOB-2019-0002665,3
JOB-2019-0003266,2
JOB-2019-0009162,6
JOB-2019-0017333,9
JOB-2019-0015881,2
JOB-2019-0009006,0
JOB-2019-0000780,6
JOB-2019-0012808,0
JOB-2019-0002926,1
JOB-2019-0013873,8
JOB-2019-0004502,7
JOB-2019-0002640,3
JOB-2019-0019065,7
JOB-2019-0013671,9
JOB-2019-0004793,3
JOB-2019-0019484,9
JOB-2019-0004476,2
JOB-2019-0013901,2
JOB-2019-0012392,5
JOB-2019-0002396,9
JOB-2019-0000718,2
JOB-2019-0008800,3
JOB-2019-0014111,9
JOB-2019-0013883,0
JOB-2019-0018162,3
JOB-2019-0015624,6
JOB-2019-0007179,8
JOB-2019-0010362,1
JOB-2019-0017478,3
JOB-2019-0008137,6
JOB-2019-0016202,2
JOB-2019-0009012,1
JOB-2019-0016884,2
JOB-2019-0008395,9
JOB-2019-0000962,7
JOB-2019-0007944,0
JOB-2019-0020005,9
JOB-2019-0011603,0
JOB-2019-0009203,4
JOB-2019-0013968,7
JOB-2019-0005248,0
JOB-2019-0008581,2
JOB-2019-0009899,0
JOB-2019-0009497,4
JOB-2019-0000998,9
JOB-2019-0013098,4
JOB-2019-0018520,2
JOB-2019-0001187,9
JOB-2019-0002030,2
JOB-2019-0005888,7
JOB-2019-0007072,9
JOB-2019-0013805,6
JOB-2019-0012830,2
JOB-2019-0000283,9
JOB-2019-0011067,9
JOB-2019-0001724,2
JOB-2019-0004746,0
